,Can,Laf,Lag,Dep,Sak,Eas,Rup,GOG,Out,Man,Tou
87,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
88,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
89,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
90,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
91,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
92,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
93,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
94,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
95,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
96,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
97,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
98,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
99,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
100,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
101,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
102,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
103,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
104,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
105,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
106,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
107,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
108,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
109,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
